datum;zeit;beschreibung;typ
30.11.23;09:00 - 10:30;Soziologie IU?;
07.12.23;09:00 - 10:30;Soziologie IU?;
08.12.23;09:00 - 13:00;Soziologie IU?;
15.12.23;09:00 - 11:30;Soziologie IU?;
22.12.23;15:30 - 17:00;Soziologie IU?;
28.12.23;09:00 - 16:15;Soziologie IU?;
28.12.23;09:00 - 16:15;Soziologie IU?;
05.01.24;08:15 - 12:15;Soziologie IU?;
12.01.24;09:00 - 10:30;Soziologie IU?;
18.01.24;08:15 - 12:15;Soziologie IU?;
25.01.24;08:15 - 12:15;Soziologie IU?;
26.01.24;09:00 - 11:30;Soziologie IU?;
01.02.24;09:00 - 10:30;Soziologie IU?;
02.02.24;09:00 - 10:30;Soziologie IU?;
09.02.24;09:00 - 16:15;Soziologie IU?;